timeframe,group,segment,category,year,metric,value,state
full-year,all_sports,gender,female,2013,participants,357649,FL
full-year,all_sports,gender,female,2014,participants,373436,FL
full-year,all_sports,gender,female,2015,participants,396683,FL
full-year,all_sports,gender,female,2016,participants,397676,FL
full-year,all_sports,gender,female,2017,participants,390413,FL
full-year,all_sports,gender,female,2018,participants,387701,FL
full-year,all_sports,gender,male,2009,participants,871085,FL
full-year,all_sports,gender,male,2010,participants,984683,FL
full-year,all_sports,gender,male,2011,participants,1058619,FL
full-year,all_sports,gender,male,2012,participants,1076006,FL
full-year,all_sports,gender,male,2013,participants,1164545,FL
full-year,all_sports,gender,male,2014,participants,1195929,FL
full-year,all_sports,gender,male,2015,participants,1276781,FL
full-year,all_sports,gender,male,2016,participants,1273198,FL
full-year,all_sports,gender,male,2017,participants,1264192,FL
full-year,all_sports,gender,male,2018,participants,1255658,FL
full-year,all_sports,residency,nonresident,2009,participants,164922,FL
full-year,all_sports,residency,nonresident,2010,participants,299317,FL
full-year,all_sports,residency,nonresident,2011,participants,334962,FL
full-year,all_sports,residency,nonresident,2012,participants,357217,FL
full-year,all_sports,residency,nonresident,2013,participants,422895,FL
full-year,all_sports,residency,nonresident,2014,participants,413118,FL
full-year,all_sports,residency,nonresident,2015,participants,464539,FL
full-year,all_sports,residency,nonresident,2016,participants,488289,FL
full-year,all_sports,residency,nonresident,2017,participants,498266,FL
full-year,all_sports,residency,nonresident,2018,participants,498688,FL
full-year,all_sports,residency,resident,2009,participants,957759,FL
full-year,all_sports,residency,resident,2010,participants,963515,FL
full-year,all_sports,residency,resident,2011,participants,1045139,FL
full-year,all_sports,residency,resident,2012,participants,1046774,FL
full-year,all_sports,residency,resident,2013,participants,1099299,FL
full-year,all_sports,residency,resident,2014,participants,1156247,FL
full-year,all_sports,residency,resident,2015,participants,1208925,FL
full-year,all_sports,residency,resident,2016,participants,1182585,FL
full-year,all_sports,residency,resident,2017,participants,1156339,FL
full-year,all_sports,residency,resident,2018,participants,1144671,FL
full-year,all_sports,age,18-24,2014,recruits,85213,FL
full-year,all_sports,age,18-24,2015,recruits,83597,FL
full-year,all_sports,age,18-24,2016,recruits,80882,FL
full-year,all_sports,age,18-24,2017,recruits,77990,FL
full-year,all_sports,age,18-24,2018,recruits,74256,FL
full-year,all_sports,age,25-34,2014,recruits,115414,FL
full-year,all_sports,age,25-34,2015,recruits,119903,FL
full-year,all_sports,age,25-34,2016,recruits,117436,FL
full-year,all_sports,age,25-34,2017,recruits,111873,FL
full-year,all_sports,age,25-34,2018,recruits,108833,FL
full-year,all_sports,age,35-44,2014,recruits,104571,FL
full-year,all_sports,age,35-44,2015,recruits,107694,FL
full-year,all_sports,age,35-44,2016,recruits,103046,FL
full-year,all_sports,age,35-44,2017,recruits,100729,FL
full-year,all_sports,age,35-44,2018,recruits,99881,FL
full-year,all_sports,age,45-54,2014,recruits,110364,FL
full-year,all_sports,age,45-54,2015,recruits,117883,FL
full-year,all_sports,age,45-54,2016,recruits,107806,FL
full-year,all_sports,age,45-54,2017,recruits,103855,FL
full-year,all_sports,age,45-54,2018,recruits,99354,FL
full-year,all_sports,age,55-64,2014,recruits,87441,FL
full-year,all_sports,age,55-64,2015,recruits,104934,FL
full-year,all_sports,age,55-64,2016,recruits,90274,FL
full-year,all_sports,age,55-64,2017,recruits,87628,FL
full-year,all_sports,age,55-64,2018,recruits,86225,FL
full-year,all_sports,all,all,2014,recruits,522148,FL
full-year,all_sports,all,all,2015,recruits,553313,FL
full-year,all_sports,all,all,2016,recruits,516265,FL
full-year,all_sports,all,all,2017,recruits,494744,FL
full-year,all_sports,all,all,2018,recruits,476234,FL
full-year,all_sports,gender,female,2014,recruits,150404,FL
full-year,all_sports,gender,female,2015,recruits,156979,FL
full-year,all_sports,gender,female,2016,recruits,148025,FL
full-year,all_sports,gender,female,2017,recruits,139463,FL
full-year,all_sports,gender,female,2018,recruits,135009,FL
full-year,all_sports,gender,male,2014,recruits,371744,FL
full-year,all_sports,gender,male,2015,recruits,396334,FL
full-year,all_sports,gender,male,2016,recruits,368240,FL
full-year,all_sports,gender,male,2017,recruits,355281,FL
full-year,all_sports,gender,male,2018,recruits,341225,FL
full-year,all_sports,residency,nonresident,2014,recruits,215532,FL
full-year,all_sports,residency,nonresident,2015,recruits,235573,FL
full-year,all_sports,residency,nonresident,2016,recruits,239695,FL
full-year,all_sports,residency,nonresident,2017,recruits,238437,FL
full-year,all_sports,residency,nonresident,2018,recruits,234390,FL
full-year,all_sports,residency,resident,2014,recruits,306616,FL
full-year,all_sports,residency,resident,2015,recruits,317740,FL
full-year,all_sports,residency,resident,2016,recruits,276570,FL
full-year,all_sports,residency,resident,2017,recruits,256307,FL
full-year,all_sports,residency,resident,2018,recruits,241844,FL
full-year,fish,age,18-24,2009,churn,0.33676060028000004,FL
full-year,fish,age,18-24,2010,churn,0.33413118202,FL
full-year,fish,age,18-24,2011,churn,0.32611877229,FL
full-year,fish,age,18-24,2012,churn,0.34081764043,FL
full-year,fish,age,18-24,2013,churn,0.32742172725,FL
full-year,fish,age,18-24,2014,churn,0.33703999115,FL
full-year,fish,age,18-24,2015,churn,0.33637406112,FL
full-year,fish,age,18-24,2016,churn,0.34843223813999996,FL
full-year,fish,age,18-24,2017,churn,0.35325225061,FL
full-year,fish,age,18-24,2018,churn,0.23619545348999998,FL
full-year,fish,age,25-34,2009,churn,0.38234265278,FL
full-year,fish,age,25-34,2010,churn,0.38095194636999996,FL
full-year,fish,age,25-34,2011,churn,0.37212187497000004,FL
full-year,fish,age,25-34,2012,churn,0.3881007487,FL
full-year,fish,age,25-34,2013,churn,0.37652305055,FL
full-year,fish,age,25-34,2014,churn,0.38509265358999994,FL
full-year,fish,age,25-34,2015,churn,0.37973859842,FL
full-year,fish,age,25-34,2016,churn,0.38736166121,FL
full-year,fish,age,25-34,2017,churn,0.39749781959,FL
full-year,fish,age,25-34,2018,churn,0.26614897632,FL
full-year,fish,age,35-44,2009,churn,0.44069491157,FL
full-year,fish,age,35-44,2010,churn,0.43924646543999996,FL
full-year,fish,age,35-44,2011,churn,0.43148578688,FL
full-year,fish,age,35-44,2012,churn,0.44644918506000003,FL
full-year,fish,age,35-44,2013,churn,0.43325171661,FL
full-year,fish,age,35-44,2014,churn,0.44238934963,FL
full-year,fish,age,35-44,2015,churn,0.44042532454000005,FL
full-year,fish,age,35-44,2016,churn,0.44627849326,FL
full-year,fish,age,35-44,2017,churn,0.45797391539000004,FL
full-year,fish,age,35-44,2018,churn,0.31525463079,FL
full-year,fish,age,45-54,2009,churn,0.48500842302,FL
full-year,fish,age,45-54,2010,churn,0.4815327865,FL
full-year,fish,age,45-54,2011,churn,0.47124259191,FL
full-year,fish,age,45-54,2012,churn,0.49008622183999995,FL
full-year,fish,age,45-54,2013,churn,0.47838400216,FL
full-year,fish,age,45-54,2014,churn,0.49189308499,FL
full-year,fish,age,45-54,2015,churn,0.49542951087,FL
full-year,fish,age,45-54,2016,churn,0.49598536333,FL
full-year,fish,age,45-54,2017,churn,0.50627473619,FL
full-year,fish,age,45-54,2018,churn,0.35338621402000003,FL
full-year,fish,age,55-64,2009,churn,0.49915565443,FL
full-year,fish,age,55-64,2010,churn,0.49728611128,FL
full-year,fish,age,55-64,2011,churn,0.48616014178,FL
full-year,fish,age,55-64,2012,churn,0.5055661839,FL
full-year,fish,age,55-64,2013,churn,0.4964352,FL
full-year,fish,age,55-64,2014,churn,0.51676150458,FL
full-year,fish,age,55-64,2015,churn,0.5384764332900001,FL
full-year,fish,age,55-64,2016,churn,0.52286684182,FL
full-year,fish,age,55-64,2017,churn,0.53553918968,FL
full-year,fish,age,55-64,2018,churn,0.37765225843000005,FL
full-year,fish,all,all,2009,churn,0.44199092429,FL
full-year,fish,all,all,2010,churn,0.44058531156999997,FL
full-year,fish,all,all,2011,churn,0.43063573645,FL
full-year,fish,all,all,2012,churn,0.44843483645,FL
full-year,fish,all,all,2013,churn,0.43688406659,FL
