state,year,sex,age,pop
Alabama,2018,1,40 to 44 years,150345.15228280207
Alabama,2018,1,45 to 49 years,152605.30734949146
Alabama,2018,1,5 to 9 years,156680.23694810577
Alabama,2018,1,50 to 54 years,164368.59323827078
Alabama,2018,1,55 to 59 years,160703.7764850165
Alabama,2018,1,60 and 61 years,59126.78511065561
Alabama,2018,1,62 to 64 years,85646.07224624706
Alabama,2018,1,65 and 66 years,52521.65070934085
Alabama,2018,1,67 to 69 years,68074.701736693
Alabama,2018,1,70 to 74 years,88160.15467664832
Alabama,2018,1,75 to 79 years,58852.70478156978
Alabama,2018,1,80 to 84 years,37436.14847866453
Alabama,2018,1,85 years and over,27398.96407416471
Alabama,2018,1,Under 5 years,150283.6857384115
Alabama,2018,2,10 to 14 years,154826.16413370165
Alabama,2018,2,15 to 17 years,95168.34838544224
Alabama,2018,2,18 and 19 years,66598.49702305057
Alabama,2018,2,20 years,35975.05848905257
Alabama,2018,2,21 years,34749.75819431592
Alabama,2018,2,22 to 24 years,97983.71764818419
Alabama,2018,2,25 to 29 years,164679.95655329846
Alabama,2018,2,30 to 34 years,156720.5428788537
Alabama,2018,2,35 to 39 years,155489.19669450485
Alabama,2018,2,40 to 44 years,155522.4490873719
Alabama,2018,2,45 to 49 years,161157.21820593058
Alabama,2018,2,5 to 9 years,149582.36254339776
Alabama,2018,2,50 to 54 years,175211.89625772895
Alabama,2018,2,55 to 59 years,174748.3780541279
Alabama,2018,2,60 and 61 years,66424.17387256584
Alabama,2018,2,62 to 64 years,94717.92960933429
Alabama,2018,2,65 and 66 years,60327.90184694351
Alabama,2018,2,67 to 69 years,78746.7045504725
Alabama,2018,2,70 to 74 years,104438.71245746296
Alabama,2018,2,75 to 79 years,78325.50757415679
Alabama,2018,2,80 to 84 years,57372.469474852565
Alabama,2018,2,85 years and over,56204.605131431694
Alabama,2018,2,Under 5 years,144113.85538917422
Alaska,2008,1,10 to 14 years,26214.611972991468
Alaska,2008,1,15 to 17 years,16919.101729049507
Alaska,2008,1,18 and 19 years,11008.20750908941
Alaska,2008,1,20 years,6549.425952959321
Alaska,2008,1,21 years,6357.468593973573
Alaska,2008,1,22 to 24 years,17308.984033310717
Alaska,2008,1,25 to 29 years,26396.623354827694
Alaska,2008,1,30 to 34 years,22712.63341864526
Alaska,2008,1,35 to 39 years,23142.29963150455
Alaska,2008,1,40 to 44 years,26298.15818104744
Alaska,2008,1,45 to 49 years,28754.81453697903
Alaska,2008,1,5 to 9 years,25255.81977577768
Alaska,2008,1,50 to 54 years,28113.299010834948
Alaska,2008,1,55 to 59 years,24898.75919610989
Alaska,2008,1,60 and 61 years,7465.450448430168
Alaska,2008,1,62 to 64 years,8933.47667569941
Alaska,2008,1,65 and 66 years,4603.99282251309
Alaska,2008,1,67 to 69 years,5376.795247030841
Alaska,2008,1,70 to 74 years,6417.144456870697
Alaska,2008,1,75 to 79 years,3950.5421237895853
Alaska,2008,1,80 to 84 years,2386.0399181699936
Alaska,2008,1,85 years and over,1346.68530604509
Alaska,2008,1,Under 5 years,26569.683357229354
Alaska,2008,2,10 to 14 years,24517.82827128325
Alaska,2008,2,15 to 17 years,16199.012983424214
Alaska,2008,2,18 and 19 years,9916.139218072049
Alaska,2008,2,20 years,4723.3445483073365
Alaska,2008,2,21 years,4634.8253516766035
Alaska,2008,2,22 to 24 years,15153.690785009598
Alaska,2008,2,25 to 29 years,23717.177110746845
Alaska,2008,2,30 to 34 years,21052.64983239027
Alaska,2008,2,35 to 39 years,21616.586736768088
Alaska,2008,2,40 to 44 years,24775.429079455836
Alaska,2008,2,45 to 49 years,26760.64611850015
Alaska,2008,2,5 to 9 years,23957.869757765242
Alaska,2008,2,50 to 54 years,26256.385077019455
Alaska,2008,2,55 to 59 years,22288.934792075685
Alaska,2008,2,60 and 61 years,6775.1996342534385
Alaska,2008,2,62 to 64 years,7814.554246378342
Alaska,2008,2,65 and 66 years,4247.9268405602525
