timeframe,group,segment,category,year,metric,value
full-year,fish,age,45-54,2016,Recruits,111180.44241199618
full-year,fish,age,45-54,2017,Recruits,106345.4808494178
full-year,fish,age,45-54,2018,Recruits,100809.94163116603
full-year,hunt,age,45-54,2009,Participants,43839.0175905414
full-year,hunt,age,45-54,2010,Participants,44414.34579264414
full-year,hunt,age,45-54,2011,Participants,44677.70830654818
full-year,hunt,age,45-54,2012,Participants,44480.427543371705
full-year,hunt,age,45-54,2013,Participants,46735.82732752925
full-year,hunt,age,45-54,2014,Participants,45950.34036686039
full-year,hunt,age,45-54,2014,Recruits,8237.437406371717
full-year,hunt,age,45-54,2015,Recruits,18309.35388867063
full-year,hunt,age,45-54,2016,Recruits,10087.175895541226
full-year,hunt,age,45-54,2017,Recruits,9410.14248027494
full-year,hunt,age,45-54,2018,Recruits,9018.582371054657
full-year,all_sports,age,45-54,2016,churn,0.496587652595
full-year,fish,age,45-54,2016,churn,0.50606077584
full-year,hunt,age,45-54,2016,churn,0.33451927668
full-year,hunt,age,45-54,2015,Participants,46748.65559355682
full-year,hunt,age,45-54,2016,Participants,47243.62067135901
full-year,hunt,age,45-54,2017,Participants,47738.58574916108
full-year,hunt,age,45-54,2018,Participants,48233.55082696327
full-year,all_sports,age,55-64,2010,churn,0.49042692611000005
full-year,all_sports,age,55-64,2011,churn,0.49344621054999993
full-year,all_sports,age,55-64,2012,churn,0.50548344762
full-year,all_sports,age,55-64,2013,churn,0.48694682622999996
full-year,all_sports,age,55-64,2014,churn,0.49709532115
full-year,all_sports,age,55-64,2015,churn,0.47702991132000006
full-year,all_sports,age,55-64,2017,churn,0.4720424530399999
full-year,all_sports,age,55-64,2018,churn,0.45986986516000006
full-year,fish,age,55-64,2010,churn,0.50084434557
full-year,fish,age,55-64,2011,churn,0.50271388872
full-year,fish,age,55-64,2012,churn,0.51383985822
full-year,fish,age,55-64,2013,churn,0.49443381610000003
full-year,fish,age,55-64,2014,churn,0.5035647999999999
full-year,fish,age,55-64,2015,churn,0.48323849541999997
full-year,fish,age,55-64,2017,churn,0.47713315818
full-year,fish,age,55-64,2018,churn,0.46446081032
full-year,hunt,age,55-64,2010,churn,0.3494124499
full-year,hunt,age,55-64,2011,churn,0.3573212561200001
full-year,hunt,age,55-64,2012,churn,0.36890981622999997
full-year,hunt,age,55-64,2013,churn,0.35297720752000006
full-year,hunt,age,55-64,2014,churn,0.36757997764999994
full-year,hunt,age,55-64,2015,churn,0.35587250764
full-year,hunt,age,55-64,2017,churn,0.38626317063999993
full-year,hunt,age,55-64,2018,churn,0.32877266975999997
full-year,all_sports,age,55-64,2009,Participants,235841.20139111727
full-year,all_sports,age,55-64,2010,Participants,266999.50379169773
full-year,all_sports,age,55-64,2011,Participants,292915.40393032174
full-year,all_sports,age,55-64,2012,Participants,302519.78726425767
full-year,all_sports,age,55-64,2013,Participants,330695.614359897
full-year,all_sports,age,55-64,2014,Participants,345722.0387264855
full-year,all_sports,age,55-64,2015,Participants,393678.91642659914
full-year,all_sports,age,55-64,2016,Participants,401319.8362169884
full-year,all_sports,age,55-64,2017,Participants,400371.4475950558
full-year,all_sports,age,55-64,2018,Participants,404801.9917293682
full-year,all_sports,age,55-64,2014,Recruits,90769.12715828733
full-year,all_sports,age,55-64,2015,Recruits,108726.87330785321
full-year,all_sports,age,55-64,2016,Recruits,93314.37880923587
full-year,all_sports,age,55-64,2017,Recruits,89930.87638230565
full-year,all_sports,age,55-64,2018,Recruits,87639.23655796939
full-year,fish,age,55-64,2009,Participants,228976.59187140752
full-year,fish,age,55-64,2010,Participants,259952.1959621004
full-year,fish,age,55-64,2011,Participants,285994.37009692955
full-year,fish,age,55-64,2012,Participants,295761.833331178
full-year,fish,age,55-64,2013,Participants,324079.657385178
full-year,fish,age,55-64,2014,Participants,339314.7558793091
full-year,fish,age,55-64,2015,Participants,387553.1146925663
full-year,fish,age,55-64,2016,Participants,395369.45719993324
full-year,fish,age,55-64,2017,Participants,394457.23084473534
full-year,fish,age,55-64,2018,Participants,398964.30616310704
full-year,fish,age,55-64,2014,Recruits,90476.09695244474
full-year,fish,age,55-64,2015,Recruits,108836.36800509879
full-year,fish,age,55-64,2016,Recruits,93164.64323911077
full-year,fish,age,55-64,2017,Recruits,89814.48360913139
full-year,fish,age,55-64,2018,Recruits,87363.6687356632
full-year,hunt,age,55-64,2009,Participants,30064.77807552072
full-year,hunt,age,55-64,2010,Participants,30959.108398498396
full-year,hunt,age,55-64,2011,Participants,31659.607373794668
full-year,hunt,age,55-64,2012,Participants,32124.2929445366
full-year,hunt,age,55-64,2013,Participants,34286.95740488455
full-year,hunt,age,55-64,2014,Participants,35647.72701886661
full-year,hunt,age,55-64,2014,Recruits,6860.712998102466
