timeframe,group,segment,year,category,metric,value
mid-year,all_sports,Age,2013,55-64,participants,186737
mid-year,all_sports,Age,2014,55-64,participants,189332
mid-year,all_sports,Age,2015,55-64,participants,202030
mid-year,all_sports,All,2013,All,recruits,81310
mid-year,all_sports,All,2014,All,recruits,80981
mid-year,all_sports,All,2015,All,recruits,88354
mid-year,all_sports,Residency,2013,Resident,recruits,47515
mid-year,all_sports,Residency,2014,Resident,recruits,47650
mid-year,all_sports,Residency,2015,Resident,recruits,50010
mid-year,all_sports,Residency,2013,Nonresident,recruits,33795
mid-year,all_sports,Residency,2014,Nonresident,recruits,33331
mid-year,all_sports,Residency,2015,Nonresident,recruits,38344
mid-year,all_sports,Gender,2013,Male,recruits,47153
mid-year,all_sports,Gender,2014,Male,recruits,46440
mid-year,all_sports,Gender,2015,Male,recruits,51597
mid-year,all_sports,Gender,2013,Female,recruits,34157
mid-year,all_sports,Gender,2014,Female,recruits,34541
mid-year,all_sports,Gender,2015,Female,recruits,36757
mid-year,all_sports,Age,2013,18-24,recruits,19506
mid-year,all_sports,Age,2014,18-24,recruits,19075
mid-year,all_sports,Age,2015,18-24,recruits,19387
mid-year,all_sports,Age,2013,25-34,recruits,20744
mid-year,all_sports,Age,2014,25-34,recruits,21391
mid-year,all_sports,Age,2015,25-34,recruits,23603
mid-year,all_sports,Age,2013,35-44,recruits,15423
mid-year,all_sports,Age,2014,35-44,recruits,15209
mid-year,all_sports,Age,2015,35-44,recruits,16538
mid-year,all_sports,Age,2013,45-54,recruits,14442
mid-year,all_sports,Age,2014,45-54,recruits,13961
mid-year,all_sports,Age,2015,45-54,recruits,15655
mid-year,all_sports,Age,2013,55-64,recruits,11195
mid-year,all_sports,Age,2014,55-64,recruits,11345
mid-year,all_sports,Age,2015,55-64,recruits,13171
